Frame,Time,F0
0,0.0,215.0
1,0.01,215.0
2,0.02,216.0
3,0.03,218.0
4,0.04,222.0
5,0.05,229.0
6,0.06,236.0
7,0.07,245.0
8,0.08,282.0
9,0.09,316.0
10,0.1,352.0
11,0.11,385.0
12,0.12,417.0
13,0.13,444.0
14,0.14,458.0
15,0.15,459.0
16,0.16,456.0
17,0.17,449.0
18,0.18,434.0
19,0.19,418.0
20,0.2,405.0
21,0.21,402.0
22,0.22,404.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0
26,0.26,0.0
27,0.27,0.0
28,0.28,0.0
29,0.29,0.0
30,0.3,0.0
31,0.31,208.0
32,0.32,208.0
33,0.33,203.0
34,0.34,200.0
35,0.35000000000000003,197.0
36,0.36,197.0
37,0.37,202.0
38,0.38,202.0
39,0.39,201.0
40,0.4,198.0
41,0.41000000000000003,191.0
42,0.42,187.0
43,0.43,182.0
44,0.44,0.0
45,0.45,0.0
46,0.46,0.0
47,0.47000000000000003,0.0
48,0.48,0.0
49,0.49,0.0
50,0.5,0.0
51,0.51,0.0
52,0.52,0.0
53,0.53,248.0
54,0.54,248.0
55,0.55,242.0
56,0.56,231.0
57,0.5700000000000001,210.0
58,0.58,183.0
59,0.59,181.0
60,0.6,179.0
61,0.61,177.0
62,0.62,174.5
63,0.63,172.0
64,0.64,170.66666666666666
65,0.65,169.33333333333331
66,0.66,168.0
67,0.67,181.0
68,0.68,183.0
69,0.6900000000000001,188.0
70,0.7000000000000001,195.0
71,0.71,204.0
72,0.72,214.0
73,0.73,224.0
74,0.74,233.0
75,0.75,242.0
76,0.76,250.0
77,0.77,256.0
78,0.78,261.0
79,0.79,261.0
80,0.8,260.0
81,0.81,253.0
82,0.8200000000000001,249.0
83,0.8300000000000001,246.0
84,0.84,0.0
85,0.85,0.0
86,0.86,0.0
87,0.87,0.0
88,0.88,0.0
89,0.89,0.0
90,0.9,0.0
91,0.91,0.0
92,0.92,0.0
93,0.93,0.0
94,0.9400000000000001,173.0
95,0.9500000000000001,169.0
96,0.96,164.0
97,0.97,159.0
98,0.98,154.0
99,0.99,148.0
100,1.0,146.0
101,1.01,145.0
102,1.02,144.0
103,1.03,143.0
104,1.04,142.0
105,1.05,141.5
106,1.06,141.0
107,1.07,140.0
108,1.08,139.0
109,1.09,139.0
110,1.1,138.0
111,1.11,0.0
112,1.12,0.0
113,1.1300000000000001,0.0
114,1.1400000000000001,0.0
115,1.1500000000000001,0.0
116,1.16,0.0
117,1.17,0.0
118,1.18,0.0
119,1.19,0.0
120,1.2,0.0
121,1.21,0.0
122,1.22,0.0
123,1.23,0.0
124,1.24,0.0
125,1.25,388.0
126,1.26,388.0
127,1.27,378.0
128,1.28,369.0
129,1.29,360.0
130,1.3,346.0
131,1.31,328.0
132,1.32,311.0
133,1.33,298.0
134,1.34,285.0
135,1.35,268.0
136,1.36,269.0
137,1.37,264.0
138,1.3800000000000001,259.0
139,1.3900000000000001,256.0
140,1.4000000000000001,244.0
141,1.41,238.0
142,1.42,0.0
143,1.43,0.0
144,1.44,0.0
145,1.45,0.0
146,1.46,0.0
147,1.47,0.0
148,1.48,0.0
149,1.49,0.0
150,1.5,0.0
151,1.51,0.0
152,1.52,260.0
153,1.53,266.0
154,1.54,269.0
155,1.55,264.0
156,1.56,251.0
157,1.57,230.0
158,1.58,202.0
159,1.59,174.0
160,1.6,150.0
161,1.61,141.0
162,1.62,137.0
163,1.6300000000000001,134.0
164,1.6400000000000001,131.0
165,1.6500000000000001,129.0
166,1.6600000000000001,129.0
167,1.67,133.0
168,1.68,138.0
169,1.69,141.0
170,1.7,141.0
171,1.71,137.0
172,1.72,131.0
173,1.73,127.0
174,1.74,126.0
175,1.75,126.0
176,1.76,125.0
177,1.77,125.0
178,1.78,124.0
179,1.79,123.0
180,1.8,123.0
181,1.81,0.0
182,1.82,0.0
183,1.83,0.0
184,1.84,0.0
185,1.85,0.0
186,1.86,0.0
187,1.87,0.0
188,1.8800000000000001,0.0
189,1.8900000000000001,0.0
190,1.9000000000000001,0.0
191,1.9100000000000001,0.0
192,1.92,0.0
193,1.93,0.0
194,1.94,0.0
195,1.95,0.0
196,1.96,0.0
197,1.97,0.0
198,1.98,0.0
199,1.99,0.0
200,2.0,0.0
201,2.0100000000000002,0.0
202,2.02,0.0
203,2.0300000000000002,0.0
204,2.04,0.0
205,2.05,0.0
206,2.06,0.0
207,2.07,0.0
208,2.08,0.0
209,2.09,0.0
210,2.1,0.0
211,2.11,0.0
212,2.12,0.0
213,2.13,0.0
214,2.14,0.0
215,2.15,0.0
216,2.16,0.0
217,2.17,0.0
